emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
,0,MI,RENT,40000,Not Verified,6.9,NA,,NA,0,28,2007,0,14,8,37985,5799,0,1,NA,0,0,0,2,16,8,0,0,7,23100,10,7,7,0,85.7,1,0,car,individual,17000,60,9.44,356.54,B,B1,Jan-18,Current,whole,Cash,15868.3,1773.78,1131.7,642.08,0
managing consultant,9,NY,RENT,140000,Source Verified,5.72,NA,,NA,0,35,2004,2,40,10,865400,426525,0,0,NA,0,0,5,3,9,10,0,0,2,25500,10,4,2,1,94.6,0,0,moving,individual,5000,36,7.35,155.19,A,A4,Feb-18,Current,whole,Cash,4497.14,618.72,502.86,115.86,0
teacher,10,TX,RENT,88000,Not Verified,27.51,NA,,NA,0,NA,1994,2,32,16,178377,89379,0,0,NA,0,0,3,7,12,16,0,0,3,73700,18,12,4,2,100,0,0,vacation,individual,7000,36,6.72,215.25,A,A3,Feb-18,Current,whole,Cash,6289.86,858.39,710.14,148.25,0
operating clerk,10,CA,MORTGAGE,92000,Source Verified,16.25,NA,,NA,2,11,2004,5,34,20,304954,60280,0,1,NA,0,0,2,8,8,20,0,0,4,37300,25,17,5,4,91.2,0,1,debt_consolidation,individual,24000,60,11.99,533.75,B,B5,Feb-18,Current,whole,Cash,22806.46,2119.01,1193.54,925.47,0
strategic analysis,7,VA,MORTGAGE,145000,Not Verified,6.04,NA,,NA,0,NA,2002,2,28,12,391765,26030,0,0,NA,0,0,0,2,1,12,0,0,3,71600,16,11,7,6,100,0,0,debt_consolidation,individual,40000,36,5.32,1204.6,A,A1,Feb-18,Current,whole,Cash,35863.53,4794.76,4136.47,658.29,0
owner,7,CA,RENT,50000,Source Verified,3.57,NA,,NA,0,NA,2001,0,5,4,25600,6293,0,0,NA,0,0,0,4,16,4,0,0,2,12300,5,4,4,0,100,0,0,debt_consolidation,individual,10000,36,7.97,313.23,A,A5,Jan-18,Current,whole,Cash,8749.43,1555.08,1250.57,304.51,0
teacher,10,IL,MORTGAGE,82000,Source Verified,31.51,157000,Not Verified,20.49,0,NA,2002,3,28,14,491858,110433,0,0,NA,0,0,4,3,3,14,0,0,3,74400,16,9,5,2,100,0,0,debt_consolidation,joint,28000,60,7.35,559.07,A,A4,Jan-18,Current,whole,Cash,26038.26,2755.34,1961.74,793.6,0
engineering expeditor,6,TX,OWN,36000,Verified,7.4,NA,,NA,0,NA,2008,0,13,10,157900,5115,0,0,NA,0,0,0,5,16,10,0,0,2,3900,10,9,5,1,100,0,0,debt_consolidation,individual,3000,36,11.99,99.63,B,B5,Feb-18,Current,fractional,Cash,2717.18,396.52,282.82,113.7,0
associate attorney,0,TX,RENT,45000,Not Verified,37.31,NA,,NA,0,81,2005,3,25,16,151219,136005,0,0,NA,0,98,11,7,0,16,0,0,3,21900,9,5,3,0,96,0,0,debt_consolidation,individual,5100,36,23.88,199.77,E,E2,Jan-18,Late (16-30 days),fractional,Cash,4694.99,792.31,405.01,387.3,0
electrical engineer,10,CA,RENT,70000,Verified,7.25,NA,,NA,1,22,2012,2,6,3,17400,1642,1,0,22,0,383,2,2,0,3,0,0,0,1300,3,1,0,0,80,0,0,debt_consolidation,individual,15000,36,18.06,542.74,D,D2,Feb-18,Late (31-120 days),fractional,Cash,15000,0,0,0,0
controller ,2,KS,MORTGAGE,48000,Not Verified,34.98,NA,,NA,0,53,1999,0,39,30,234632,113952,0,0,NA,0,0,17,2,17,30,0,0,7,27500,16,12,8,4,92.1,0,0,credit_card,individual,13000,60,14.08,303.03,C,C3,Feb-18,Current,whole,Cash,12387.34,1186.7,612.66,574.04,0
auto tech,10,NJ,MORTGAGE,62000,Verified,5.57,NA,,NA,0,NA,2007,1,17,11,336666,6214,0,0,NA,0,411,1,5,10,11,0,0,3,34900,13,9,4,1,100,0,0,debt_consolidation,individual,7500,36,10.41,243.46,B,B3,Mar-18,Current,fractional,Cash,6960.14,736.89,539.86,197.03,0
general manager,8,GA,MORTGAGE,117000,Source Verified,11.6,NA,,NA,0,30,2004,0,18,8,93700,49303,0,0,NA,0,0,1,3,NA,8,0,0,4,16600,12,7,6,0,88.9,0,0,debt_consolidation,individual,40000,60,13.58,922.05,C,C2,Mar-18,Current,whole,Cash,38474.72,2835.97,1525.28,1310.69,0
senior vice president,2,WA,MORTGAGE,400000,Verified,13.06,NA,,NA,1,23,1990,4,35,23,1086358,143564,0,1,NA,0,0,4,6,6,23,0,0,7,37900,26,17,13,3,91.4,1,0,debt_consolidation,individual,40000,36,6.72,1229.97,A,A3,Jan-18,Current,whole,Cash,34913.5,6134.92,5086.5,1048.42,0
finance department,2,IN,MORTGAGE,85000,Source Verified,22.72,150000,Source Verified,27.73,0,31,2003,7,19,11,331298,91933,0,0,NA,0,1662,2,4,3,11,0,0,4,32700,9,7,4,4,84.2,0,0,credit_card,joint,32675,60,24.84,956,E,E3,Mar-18,Current,whole,Cash,31818.63,2777.82,856.37,1921.45,0
teacher,7,OH,MORTGAGE,70000,Source Verified,14.51,NA,,NA,0,35,1993,4,33,15,360585,173731,0,0,NA,0,0,4,7,3,15,0,0,3,12000,12,9,7,2,87.5,0,0,debt_consolidation,individual,6000,36,9.44,192.03,B,B1,Jan-18,Fully Paid,fractional,Cash,0,6002.048667,6000,2.05,0
vp sales and marketing,0,OR,RENT,48750,Not Verified,27.45,63750,,23.87,0,NA,2000,0,22,12,104614,60360,1,1,NA,0,428,2,3,16,11,0,0,6,21300,15,10,8,1,100,0,1,debt_consolidation,joint,20000,60,14.07,466.1,C,C3,Mar-18,Current,whole,DirectPay,19057.18,1731.52,942.82,788.7,0
porter,10,FL,MORTGAGE,70000,Verified,34.78,NA,,NA,0,NA,1996,3,18,12,262049,59622,1,1,NA,0,396,3,6,8,11,0,0,5,6900,8,8,7,1,94.4,0,1,debt_consolidation,individual,15000,36,20,557.46,D,D4,Feb-18,Current,whole,Cash,13739.07,2188.17,1260.93,927.24,0
personal assistant ,2,NH,RENT,50000,Source Verified,16.37,NA,,NA,0,NA,2006,0,21,9,39814,25131,0,0,NA,0,0,2,5,19,9,0,0,4,11300,16,7,4,0,100,0,0,debt_consolidation,individual,5825,36,10.91,190.46,B,B4,Feb-18,Current,whole,Cash,5267.45,758.31,557.55,200.76,0
office manager,10,CO,RENT,59000,Source Verified,4.86,NA,,NA,0,31,1994,1,31,8,25100,8322,0,1,31,0,0,0,1,2,8,0,0,1,3400,24,8,4,1,80.6,0,1,debt_consolidation,individual,20000,60,13.59,461.13,C,C2,Feb-18,Fully Paid,whole,Cash,0,20530.54244,20000,530.54,0
route representative ,3,NY,RENT,52000,Not Verified,17.4,NA,,NA,0,NA,2007,3,14,9,63800,24423,0,1,NA,0,0,1,1,4,9,0,0,4,37600,12,8,6,0,100,0,1,credit_card,individual,15000,36,5.32,451.73,A,A1,Feb-18,Current,whole,DirectPay,13448.8,1809.14,1551.2,257.94,0
lead network engineer,0,GA,MORTGAGE,110000,Verified,12.88,NA,,NA,0,NA,2005,3,17,8,328011,55853,0,0,NA,0,0,2,5,4,8,0,0,1,9500,7,4,2,2,100,0,0,debt_consolidation,individual,20000,36,9.92,644.6,B,B2,Mar-18,Current,whole,Cash,18550.41,1922.78,1449.59,473.19,0
cpms operations administrator,3,TX,RENT,62000,Source Verified,23.52,NA,,NA,0,NA,2012,0,15,10,75717,51660,0,0,NA,0,0,1,4,15,10,0,0,4,22300,8,8,7,0,100,0,0,other,individual,20000,36,10.9,653.83,B,B4,Mar-18,Current,whole,Cash,17965.56,2549.38,2034.44,514.94,0
associate,0,GA,RENT,78000,Source Verified,5.8,NA,,NA,0,NA,2014,2,9,8,25200,14285,0,0,NA,0,0,0,4,10,8,0,0,5,20100,9,8,5,0,100,0,0,credit_card,individual,12500,36,19.03,458.39,D,D3,Jan-18,Current,fractional,Cash,11157.27,2166.41,1342.73,823.68,0
salesman,2,MI,MORTGAGE,72000,Source Verified,19.83,NA,,NA,2,18,2000,2,29,19,386797,39837,0,0,NA,0,0,3,8,9,19,0,0,3,38500,18,13,7,3,93.1,0,0,home_improvement,individual,5000,36,7.35,155.19,A,A4,Jan-18,Current,fractional,Cash,4369.5,782.08,630.5,151.58,0
field service engineer,10,TN,MORTGAGE,50000,Source Verified,23.45,NA,,NA,0,34,1987,1,36,21,47400,20558,0,0,34,0,0,0,2,9,21,0,0,6,24600,33,21,15,2,94.4,0,0,debt_consolidation,individual,24000,60,16.02,583.89,C,C5,Jan-18,Current,whole,Cash,22646.9,2876.73,1353.1,1523.63,0
maintenance supervisor,0,GA,RENT,42000,Source Verified,15.37,NA,,NA,1,21,2009,0,16,10,37932,11024,0,0,NA,0,0,1,0,NA,10,0,0,5,18800,10,9,6,2,93.8,0,0,debt_consolidation,individual,12000,36,7.34,372.4,A,A4,Mar-18,Current,whole,Cash,11097.5,1117.2,902.5,214.7,0
manager,6,OR,OWN,78000,Source Verified,12.29,NA,,NA,0,NA,2003,0,13,8,41223,29333,0,1,NA,0,0,1,3,17,8,0,0,5,15700,8,7,6,0,100,0,1,credit_card,individual,10000,36,16.02,351.67,C,C5,Feb-18,Current,whole,Cash,9109.69,1402.23,890.31,511.92,0
supervisor ,3,MA,RENT,60000,Not Verified,23.7,NA,,NA,0,NA,2015,2,6,5,68232,57676,0,0,NA,0,0,2,2,1,5,0,0,2,7200,3,3,3,0,100,0,0,other,individual,20000,60,25.81,596.57,E,E4,Mar-18,Current,whole,Cash,19489.98,1761.03,510.02,1251.01,0
vice president of sales ,1,CT,OWN,200000,Source Verified,14.33,NA,,NA,1,11,1989,0,36,15,426582,78198,0,0,NA,0,0,1,6,15,15,0,0,5,48700,23,11,6,2,97.2,0,0,credit_card,individual,40000,36,9.92,1289.19,B,B2,Feb-18,Current,whole,Cash,36118.1,5134.72,3881.9,1252.82,0
feeder driver,10,TN,MORTGAGE,80000,Source Verified,8.91,NA,,NA,0,NA,1997,3,11,10,182700,16259,0,0,NA,0,298,2,3,8,10,0,0,5,13000,8,7,5,1,100,0,0,home_improvement,individual,30000,60,26.77,911.95,E,E5,Mar-18,Current,whole,Cash,29509.19,1779.28,490.81,1288.47,0
dispatcher,3,TX,RENT,65000,Source Verified,28.97,NA,,NA,0,49,2001,4,55,28,156207,70381,0,0,NA,0,0,3,16,5,28,0,0,5,50800,46,25,9,1,98.2,0,0,credit_card,individual,8000,36,7.96,250.55,A,A5,Mar-18,Current,whole,Cash,7403.61,748.11,596.39,151.72,0
,NA,WV,OWN,15599,Verified,10.08,NA,,NA,0,62,1977,0,10,5,4400,3457,0,0,75,0,0,0,1,NA,5,0,0,2,3300,9,5,3,1,70,0,0,debt_consolidation,individual,4000,36,13.58,135.9,C,C2,Feb-18,Current,fractional,Cash,3631.27,537.56,368.73,168.83,0
elevator mechanic,9,NY,MORTGAGE,126000,Source Verified,36.98,176000,Not Verified,27.54,0,24,1990,5,49,26,642392,176751,0,0,58,0,0,6,11,2,26,0,0,10,88400,32,18,13,2,95.9,0,0,debt_consolidation,joint,12000,36,7.96,375.82,A,A5,Feb-18,Current,whole,Cash,11105.43,1122.15,894.57,227.58,0
director of catering,6,CA,RENT,92465,Not Verified,12.94,NA,,NA,0,31,2006,2,25,17,67798,42248,1,1,77,0,163,2,11,8,17,0,0,7,6400,17,15,13,0,91.7,0,1,credit_card,individual,7000,36,19.03,256.7,D,D3,Jan-18,Fully Paid,fractional,Cash,0,7176.073605,7000,176.07,0
construction inspector,10,FL,RENT,119216,Not Verified,23.91,NA,,NA,0,NA,1988,1,22,11,248041,74279,0,0,NA,0,0,2,2,8,11,0,0,7,79900,12,8,8,2,100,0,0,credit_card,individual,20000,60,7.34,399.25,A,A4,Mar-18,Current,whole,DirectPay,19164.16,1181.44,835.84,345.6,0
rrt,10,MI,OWN,65000,Not Verified,25.15,NA,,NA,0,74,1997,1,32,17,316625,38064,0,0,74,0,0,2,7,8,17,0,0,6,35200,26,13,10,2,71,0,0,credit_card,individual,20000,60,19.03,519.15,D,D3,Jan-18,Current,whole,Cash,18957.54,2574.61,1042.46,1532.15,0
maintenance technician ,3,OH,MORTGAGE,75000,Verified,15.84,NA,,NA,0,NA,2006,2,28,21,292651,45314,0,0,NA,0,426,8,9,8,21,0,0,5,25800,15,12,7,2,100,0,0,credit_card,individual,7000,36,11.98,232.44,B,B5,Mar-18,Current,fractional,Cash,6507.45,692.66,492.55,200.11,0
area service manager,10,MD,MORTGAGE,79982,Source Verified,6.9,NA,,NA,0,78,1990,3,9,6,463741,17674,0,0,NA,0,0,1,5,6,6,0,0,2,13100,5,4,2,2,88.9,0,0,debt_consolidation,individual,30000,60,15.04,714.33,C,C4,Mar-18,Current,whole,Cash,28972.24,2092.86,1027.76,1065.1,0
office manager/executive assistant,3,NJ,RENT,45000,Verified,47.81,105000,Verified,30.37,0,NA,2011,4,26,14,94969,52884,0,1,NA,0,0,4,7,1,14,0,0,4,24600,20,10,6,0,100,0,1,debt_consolidation,joint,35000,60,21.85,963.68,D,D5,Mar-18,Current,whole,Cash,34341.28,1884.87,658.72,1226.15,0
maintenance,10,KY,MORTGAGE,65000,Source Verified,16.45,NA,,NA,0,30,2005,6,30,7,232535,42569,0,0,NA,0,0,1,5,2,7,0,0,1,4000,14,4,2,5,96.7,0,0,credit_card,individual,30000,60,25.81,894.85,E,E4,Mar-18,Current,whole,Cash,29236.11,2598.67,763.89,1834.78,0
pharmacist ,8,CA,MORTGAGE,68000,Not Verified,16.7,NA,,NA,2,8,1995,0,53,26,88674,18353,0,0,NA,0,919,2,5,NA,26,0,0,3,43500,42,24,9,0,86.8,0,0,debt_consolidation,individual,6000,36,15.05,208.14,C,C4,Jan-18,Current,fractional,Cash,5318.67,1035.68,681.33,354.35,0
,NA,SC,OWN,42000,Not Verified,27.08,NA,,NA,0,NA,2002,0,14,7,35800,25038,0,0,NA,0,0,1,1,NA,7,0,0,2,10300,9,5,3,0,100,0,0,debt_consolidation,individual,10000,36,14.07,342.12,C,C3,Mar-18,Current,fractional,Cash,9317.45,1018.54,682.55,335.99,0
loan officer,1,TX,MORTGAGE,70000,Source Verified,31.39,270000,Source Verified,22.89,2,15,2004,3,37,10,408383,107678,1,0,NA,0,1285,1,4,10,10,0,0,2,83000,20,7,3,2,91.9,0,0,debt_consolidation,joint,35000,36,14.07,1197.41,C,C3,Mar-18,Current,fractional,Cash,32611.1,3564.87,2388.9,1175.97,0
owner,2,NV,MORTGAGE,95000,Not Verified,7.3,NA,,NA,0,26,2005,1,9,5,511100,11715,0,0,69,0,153,1,1,10,5,0,0,3,5100,3,3,3,3,77.8,0,0,debt_consolidation,individual,25000,60,13.59,576.41,C,C2,Jan-18,Current,whole,Cash,23499.98,2844.3,1500.02,1344.28,0
penetration tester,2,VA,RENT,163000,Source Verified,4.98,NA,,NA,0,NA,1999,2,12,5,129213,24645,0,0,NA,0,0,2,1,9,5,0,0,1,16000,3,2,1,1,100,0,0,house,individual,30000,60,9.43,629.04,B,B1,Mar-18,Current,whole,Cash,28810.83,1855.69,1189.17,666.52,0
analyst,1,NY,RENT,136000,Not Verified,8.07,NA,,NA,0,NA,2006,1,13,8,86950,41052,0,0,NA,0,0,2,5,8,8,0,0,4,66700,9,6,4,0,100,0,0,credit_card,individual,25000,36,11.98,830.12,B,B5,Feb-18,Current,whole,Cash,23240.95,2473.72,1759.05,714.67,0
school secretary 1,10,CA,RENT,51754,Source Verified,25.14,NA,,NA,0,59,1994,0,40,22,120960,106836,0,0,59,0,3174,9,6,14,22,0,0,4,12600,17,13,12,0,97.5,0,0,credit_card,individual,2500,36,9.93,80.59,B,B2,Jan-18,Current,fractional,Cash,2257.4,320.98,242.6,78.38,0
,NA,CT,MORTGAGE,50000,Not Verified,10.73,NA,,NA,0,NA,1990,1,19,12,173400,11801,0,1,NA,0,0,0,3,12,12,0,0,6,16100,15,11,8,2,100,0,1,debt_consolidation,individual,15000,60,15.05,357.25,C,C4,Feb-18,Current,whole,Cash,14310.67,1397.65,689.33,708.32,0
sales rep,7,VA,MORTGAGE,80000,Not Verified,13.76,NA,,NA,0,NA,1976,1,27,7,227567,22407,0,0,NA,0,0,1,2,4,7,0,0,1,10000,18,5,1,3,100,0,0,debt_consolidation,individual,25000,36,7.34,775.82,A,A4,Mar-18,Current,whole,Cash,23119.84,2297.13,1880.16,416.97,0
equipment operator,10,PA,MORTGAGE,69000,Not Verified,8.63,NA,,NA,0,NA,2005,5,24,7,183487,32972,0,0,NA,0,123,1,1,11,7,0,0,1,7700,13,5,4,3,100,0,0,debt_consolidation,individual,7000,36,5.31,210.78,A,A1,Mar-18,Current,whole,DirectPay,6458.19,628.21,541.81,86.4,0
project & property manager,5,VT,MORTGAGE,80000,Verified,30.24,NA,,NA,0,NA,2006,4,23,17,390394,131956,0,0,NA,0,0,10,6,9,17,0,0,2,33000,9,6,5,1,82.6,0,0,debt_consolidation,individual,20000,60,11.98,444.69,B,B5,Mar-18,Current,whole,DirectPay,19179.29,1384.45,820.71,563.74,0
front office supervisor,10,CA,RENT,31000,Source Verified,28.34,NA,,NA,0,31,2000,0,11,5,52128,29312,0,0,31,0,0,1,0,NA,5,0,0,2,13400,7,4,3,0,63.6,0,0,debt_consolidation,individual,4000,36,5.32,120.46,A,A1,Feb-18,Current,whole,DirectPay,3586.35,479.48,413.65,65.83,0
owner,10,MA,MORTGAGE,60000,Not Verified,11.36,90000,Not Verified,11.1,4,14,1985,6,28,9,555163,16501,1,0,17,0,0,1,4,0,9,0,0,3,9800,15,6,3,7,70.4,0,0,debt_consolidation,joint,8425,36,17.09,300.76,D,D1,Feb-18,Current,fractional,Cash,7686.31,1183.04,738.69,444.35,0
librarian,4,CA,RENT,61000,Source Verified,22.57,NA,,NA,0,27,2005,0,31,17,117313,63785,0,0,NA,0,0,3,4,18,17,0,0,4,40200,24,14,6,2,96.8,0,0,other,individual,5000,36,9.43,160.01,B,B1,Mar-18,Current,whole,Cash,4600,474.64,400,74.64,0
systems administrator,0,ND,RENT,57500,Source Verified,15.24,NA,,NA,0,38,2004,1,56,14,131094,115842,0,0,NA,0,0,3,10,7,14,0,0,2,12500,22,11,4,5,98.1,0,0,debt_consolidation,individual,7100,36,22.91,274.51,E,E1,Jan-18,Current,whole,Cash,6378.16,1408.7,721.84,686.86,0
director of pharmacy,10,AR,MORTGAGE,132454,Not Verified,21.97,188454,Not Verified,21.85,0,NA,2002,0,15,8,357933,81406,0,0,NA,0,0,5,0,NA,8,0,0,1,2300,2,1,1,3,100,0,0,credit_card,joint,12000,36,6.08,365.5,A,A2,Feb-18,Current,whole,Cash,10771.91,1457.95,1228.09,229.86,0
,NA,OH,MORTGAGE,37000,Verified,71.91,127000,Verified,32.56,0,NA,1994,6,35,21,218335,67288,0,0,NA,0,0,2,12,0,21,0,0,7,19300,26,18,13,2,100,0,0,debt_consolidation,joint,35000,36,16.01,1230.67,C,C5,Mar-18,Current,whole,Cash,32678.15,3396.28,2321.85,1074.43,0
construction inspector,5,OH,RENT,52000,Not Verified,15.65,NA,,NA,0,NA,2010,0,15,12,41044,27810,0,0,NA,0,0,8,1,13,12,0,0,1,2000,7,4,4,0,100,0,0,debt_consolidation,individual,2500,36,10.9,81.73,B,B4,Mar-18,Current,whole,Cash,2381.42,160.43,118.58,41.85,0
machine operator,10,IL,MORTGAGE,120000,Source Verified,11.74,NA,,NA,1,4,1996,7,36,17,258525,24620,0,0,NA,0,0,2,11,4,17,0,0,6,23100,20,14,7,1,91.7,0,0,debt_consolidation,individual,19000,36,10.9,621.14,B,B4,Mar-18,Current,whole,Cash,18098.81,1219.27,901.19,318.08,0
,NA,NE,MORTGAGE,72000,Source Verified,11.82,NA,,NA,0,NA,1989,1,7,7,162131,29315,0,0,NA,0,0,1,1,1,7,0,0,3,21200,5,5,5,1,100,0,0,home_improvement,individual,7200,36,14.08,246.36,C,C3,Jan-18,Current,fractional,Cash,6371.38,1220.54,828.62,391.92,0
head of finance,10,DC,RENT,110000,Source Verified,1.15,NA,,NA,0,NA,1994,2,26,11,118400,3639,0,0,NA,0,0,0,3,9,11,0,0,5,118400,23,11,5,0,100,0,0,medical,individual,30000,36,6.08,913.75,A,A2,Jan-18,Current,whole,Cash,26152.46,4548.48,3847.54,700.94,0
director,9,NE,MORTGAGE,70000,Not Verified,17.33,123500,Not Verified,20.96,0,NA,1990,4,32,10,296730,50622,0,0,NA,0,0,2,7,8,10,0,0,1,6000,15,7,2,6,100,0,0,other,joint,9500,36,12.61,318.32,C,C1,Mar-18,Current,whole,Cash,9060.72,629.98,439.28,190.7,0
manager ,3,FL,MORTGAGE,65000,Source Verified,13.35,NA,,NA,0,NA,1998,4,18,11,41000,20973,0,1,NA,0,0,0,7,8,11,0,0,6,27000,14,11,10,0,100,1,0,debt_consolidation,individual,20000,60,20,529.88,D,D4,Feb-18,Current,whole,Cash,19193.94,2075.08,806.06,1269.02,0
customer sevice,10,IN,MORTGAGE,39000,Verified,28.77,89000,Verified,14.65,0,NA,2010,3,10,6,198533,52211,0,0,NA,0,0,1,2,7,6,0,0,1,12600,4,4,2,2,100,0,0,renewable_energy,joint,10000,60,19.42,261.73,D,D3,Mar-18,Current,whole,Cash,9695.43,774.4,304.57,469.83,0
software developer ii,4,CA,RENT,85000,Not Verified,13.63,NA,,NA,0,NA,2008,4,11,6,66901,40675,0,0,NA,0,97,3,4,3,6,0,0,2,20000,3,3,3,0,100,0,0,other,individual,4200,36,11.99,139.49,B,B5,Jan-18,Fully Paid,whole,Cash,0,4213.986,4200,13.99,0
lead shipping,5,AL,MORTGAGE,43000,Not Verified,11.3,NA,,NA,0,NA,2007,2,10,6,155622,14990,0,0,NA,0,54,1,3,3,6,0,0,1,17000,6,4,1,1,100,0,0,debt_consolidation,individual,20000,60,11.99,444.79,B,B5,Jan-18,Current,whole,Cash,18750.5,2210.63,1249.5,961.13,0
owner,10,CA,MORTGAGE,107000,Source Verified,6.74,NA,,NA,0,33,2010,4,17,13,27250,14391,0,1,NA,0,0,1,4,0,13,0,0,8,18400,14,12,10,0,94.1,0,1,debt_consolidation,individual,7500,36,20,278.73,D,D4,Feb-18,Current,fractional,Cash,6869.54,1106.59,630.46,476.13,0
special education teacher ,3,NY,OWN,41000,Source Verified,21.05,NA,,NA,0,NA,2002,1,50,23,66233,47522,0,0,NA,0,0,12,2,8,23,0,0,4,29000,23,11,6,0,100,0,0,debt_consolidation,individual,21650,36,11.98,718.89,B,B5,Mar-18,Current,whole,DirectPay,20126.64,2127.85,1523.36,604.49,0
accounts payable,0,CA,RENT,38464,Not Verified,23.68,NA,,NA,0,NA,2014,7,12,10,51541,37711,0,0,NA,0,423,1,6,10,10,0,0,3,8100,9,9,5,0,100,0,0,credit_card,individual,4700,36,14.08,160.82,C,C3,Feb-18,Current,whole,Cash,4269.81,635.93,430.19,205.74,0
attorney/member,2,PA,OWN,90000,Source Verified,23.29,175000,Source Verified,25.46,1,8,2003,0,52,24,415082,177084,0,0,65,0,0,18,1,21,24,0,0,2,8300,11,5,2,1,89.8,0,0,debt_consolidation,joint,30000,60,15.05,714.49,C,C4,Jan-18,Current,whole,Cash,28621.37,2832.88,1378.63,1454.25,0
office assistant iii,10,WV,MORTGAGE,300000,Not Verified,3.33,NA,,NA,0,79,1999,1,19,5,55257,43981,0,0,NA,0,0,1,5,9,5,0,0,3,10400,16,4,4,1,94.7,0,0,debt_consolidation,individual,8000,36,9.43,256.01,B,B1,Mar-18,Current,fractional,DirectPay,7365.87,813.84,634.13,179.71,0
teacher,10,KS,RENT,35000,Not Verified,27.37,NA,,NA,0,NA,1996,2,17,6,34538,26454,0,1,NA,0,0,2,5,12,6,0,0,3,6900,10,4,4,0,100,0,1,credit_card,individual,6000,36,9.93,193.41,B,B2,Jan-18,Current,whole,Cash,5269.21,963.74,730.79,232.95,0
sales manager,1,CA,RENT,48000,Not Verified,4.58,NA,,NA,0,NA,2010,0,7,4,21641,12248,0,0,NA,0,0,1,2,NA,4,0,0,3,14800,4,3,3,0,100,0,0,credit_card,individual,6000,36,6.71,184.47,A,A3,Mar-18,Current,whole,DirectPay,5697.32,366.7,302.68,64.02,0
business officer,10,DC,RENT,98000,Not Verified,1.95,NA,,NA,0,75,1988,3,20,6,7000,3272,0,0,75,0,0,0,3,1,6,0,0,4,5200,20,6,6,0,90,0,0,debt_consolidation,individual,18000,36,14.07,615.81,C,C3,Mar-18,Current,whole,Cash,16771.43,1833.36,1228.57,604.79,0
ssgt,10,AR,RENT,50000,Not Verified,29.62,NA,,NA,0,NA,2007,0,32,6,67576,42441,0,0,NA,0,0,2,0,NA,6,0,0,1,12000,14,4,1,0,100,0,0,credit_card,individual,23075,60,16.01,561.27,C,C5,Feb-18,Current,whole,Cash,22304.57,1735.13,770.43,964.7,0
nail technician/ esthetician,10,FL,OWN,27000,Source Verified,48.56,40000,Source Verified,32.78,0,40,2001,4,20,12,49284,26487,0,1,40,0,0,4,12,8,12,0,0,4,18300,12,8,5,0,90,0,1,debt_consolidation,joint,15000,36,19.42,553.04,D,D3,Mar-18,Current,whole,Cash,14374.4,1073.71,625.6,448.11,0
collection development librarian,7,OH,RENT,44000,Source Verified,31.12,NA,,NA,0,NA,1988,0,20,15,90300,42248,0,0,NA,0,0,0,2,NA,15,0,0,6,70500,20,15,10,0,100,0,0,debt_consolidation,individual,15000,60,13.59,345.85,C,C2,Mar-18,Current,whole,Cash,14466.07,1026.23,533.93,492.3,0
truck driver,2,TX,MORTGAGE,75000,Verified,21.04,NA,,NA,0,NA,2004,11,35,20,321890,42518,0,0,NA,0,0,4,16,6,20,0,0,9,73800,20,15,12,4,100,0,0,credit_card,individual,20000,60,17.47,502.12,D,D1,Mar-18,Current,whole,DirectPay,19357.88,1486.95,642.12,844.83,0
truck driver,7,FL,RENT,50000,Source Verified,25.76,NA,,NA,0,NA,2014,0,11,11,37810,18021,0,0,NA,0,0,3,6,18,11,0,0,3,4600,8,8,7,0,100,0,0,debt_consolidation,individual,20000,60,21.45,546.15,D,D5,Jan-18,Current,whole,Cash,19022.42,2683.08,977.58,1705.5,0
,NA,MI,MORTGAGE,58000,Verified,12.35,NA,,NA,0,24,1996,0,21,14,350539,16006,0,0,24,0,0,0,4,13,14,0,0,4,27200,17,12,10,3,90.5,0,0,debt_consolidation,individual,19000,36,6.72,584.24,A,A3,Feb-18,Current,whole,Cash,17072.52,2361.79,1927.48,434.31,0
office manager,10,TX,MORTGAGE,115000,Not Verified,12.37,NA,,NA,0,NA,1991,0,24,12,66400,46326,0,0,NA,0,0,1,5,16,12,0,0,5,35800,20,11,11,0,100,0,0,debt_consolidation,individual,19000,36,7.97,595.13,A,A5,Feb-18,Current,whole,Cash,17105.48,2363.69,1894.52,469.17,0
csr/checker,10,CA,MORTGAGE,30000,Source Verified,38.08,90000,Source Verified,16.83,1,22,2006,0,8,7,413059,35775,0,0,22,0,0,1,1,NA,7,0,0,4,23500,5,5,5,1,87.5,0,0,debt_consolidation,joint,24000,60,14.08,559.44,C,C3,Feb-18,Current,whole,Cash,22868.93,2200.21,1131.07,1069.14,0
